Keys,pl
UI_NEW_GAME,Nowa Gra
UI_LOAD_GAME,
UI_MODS,
UI_OPTIONS,Opcje
UI_CREDITS,
UI_QUIT,Wyjdz
UI_GAME_VERSION,
UI_AUTHOR,Autor
UI_NEWS,Nowsci
UI_TWITTER,Twitter
UI_DISCORD,Discord
UI_MUSIC,Muzyka
UI_FORUMS,Forum
UI_CHOOSE_STORY,
UI_DISABLE_STORY,
UI_CHOOSE_DIFFICULTY,Wybierz Trudnosc
UI_TIMID,Latwy
UI_NORMAL,Normlny
UI_BRUTAL,Trudny
UI_CHOOSE_CREW,Wybierz Druzyne
UI_BACKSTORY,
UI_FIRST_NAME,Imie
UI_LAST_NAME,Nazwisko
UI_NICKNAME,
UI_PERSONALITY,
UI_MEDICAL_CONDITIONS,
UI_NONE,
UI_VOCATION,
UI_PARTY_SKILLS,
UI_HEADGEAR,
UI_RANDOMISE,
UI_OPTIONS,Opcje
UI_GAMEPLAY,
UI_PAUSE_ON_ALERT,
UI_SHOW_NAME_LABEL,
UI_SHOW_FPS,
UI_SHOW_CUSTOM_MOUSE,Pokarz opcje myszki
UI_GRAPHICS,Grafika
UI_RESOLUTION,
UI_VSYNC,
UI_FULLSCREEN,Pelny Ekran
UI_BORDERLESS_WINDOW,
UI_SOUNDS,Dzwiek
UI_MASTER_VOLUME,
UI_MUSIC_VOLUME,
UI_SOUNDS_VOLUME,
UI_CLOSE,
UI_OPEN_USER_DIR,
UI_SAVE_MENU,Zapisz Menu
UI_LOAD,
UI_SAVE,Zapisz Menu
UI_LANGUAGE_CREDITS,
UI_FACTION,
UI_RELATIONS,
UI_RACE,
UI_TYPE,
UI_POWER,
UI_TECH_LEVEL,
UI_CREW,
UI_NAME,
UI_MORALE,
UI_STATUS,
UI_ASSIGNED_ROOM,
UI_ASSIGNED_ROLE,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
UNSUPPORTED_RESOLUTION,
DEEP_SPACE,
